Algorithm,Success_Rate,Collision_Rate,Near_Miss_Frequency,Mean_Reward,Std_Reward,Performance_Consistency,Mean_Comfort_Score,Mean_Episode_Length,Mean_Completion_Time,Mean_Safety_Achievement_Time,Reward_Per_Step,Evaluation_Time
A2C,0.92,0.08,0.0,74.890247384997,24.018901184563536,24.018901184563536,1.9999999999997442,39.16,41.67391304347826,1.0,1.912416940372753,33.540337800979614
DQN,0.32,0.68,0.0,29.380222463998486,52.067939049151704,52.067939049151704,0.1951473053946996,13.72,32.0,1.0,2.14141563148677,12.582908868789673
PPO,0.94,0.06,0.0,97.73148581705911,33.149568131839025,33.149568131839025,1.9999975164757162,30.78,31.76595744680851,1.0,3.1751619823605948,26.82421875
Q_Learning,0.94,0.06,0.0,93.37682939213755,32.63298083528202,32.63298083528202,1.9999999978805363,30.64,31.5531914893617,1.0,3.047546651179424,27.178966999053955
