Algorithm,Success_Rate,Collision_Rate,Near_Miss_Frequency,Mean_Reward,Std_Reward,Performance_Consistency,Mean_Comfort_Score,Mean_Episode_Length,Mean_Completion_Time,Mean_Safety_Achievement_Time,Reward_Per_Step,Evaluation_Time
A2C,0.924,0.076,0.0,74.75972687333073,22.815746982038316,22.815746982038316,1.90235255416044,39.62,41.98701298701299,,1.8869189013965355,166.8606469631195
DQN,0.26,0.74,0.0,26.387722598326384,52.66833256730095,52.66833256730095,1.8211251338611851,12.3,31.123076923076923,,2.1453433006769416,54.288641929626465
PPO,0.936,0.064,0.0,101.93943445004228,36.45820123748334,36.45820123748334,1.6880349706798703,30.284,31.346153846153847,,3.366115257232938,130.03787207603455
Q_Learning,0.944,0.056,0.0,93.7028329311252,32.763229800078825,32.763229800078825,1.6225632691457708,30.576,31.614406779661017,,3.064587680897606,129.72442293167114
