Algorithm,Success_Rate,Collision_Rate,Near_Miss_Frequency,Mean_Reward,Std_Reward,Performance_Consistency,Mean_Comfort_Score,Mean_Episode_Length,Mean_Completion_Time,Mean_Safety_Achievement_Time,Reward_Per_Step,Evaluation_Time
A2C,0.88,0.12,0.0,72.16229291558912,29.928457587040985,29.928457587040985,1.8602830155089416,37.66,41.54545454545455,,1.916152228241878,31.97570514678955
DQN,0.3,0.7,0.0,29.88323035141936,55.680185462307975,55.680185462307975,1.8074768507087577,13.02,31.533333333333335,,2.2951789824438835,11.530561208724976
PPO,0.86,0.14,0.0,99.35698577431648,47.34547295568203,47.34547295568203,1.6396780789962213,29.0,31.25581395348837,,3.426102957735051,24.956358909606934
Q_Learning,0.94,0.06,0.0,96.36522859174188,32.881034279605046,32.881034279605046,1.6003475886289982,30.2,31.29787234042553,,3.1909016089980757,25.773778200149536
